"","Player","Actual","Guaranteed","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","url","yrs_exp","age_yrs","draft_num","debut_yr","num_accolades","num_teams_1920","mid_season_trades","team","num_yrs_current_team","num_teams_played","injury_yrs","twitter_followers","NBA_titles","all_NBA","drafted","GS."
"412","Terence Davis",898310,898310,"SG",72,4,1209,199,436,0.456,94,242,0.388,105,194,0.541,0.564,51,59,0.864,50,187,237,115,39,14,76,124,543,"https://www.basketball-reference.com/players/d/daviste02.html",1,23.4063862280974,0,2019,1,1,0,"TOR",1,1,0,2728,0,0,FALSE,0.0555555555555556
"413","Terrance Ferguson",2475840,6419853,"SF",56,38,1257,78,220,0.355,49,168,0.292,29,52,0.558,0.466,15,20,0.75,23,51,74,51,27,17,31,155,220,"https://www.basketball-reference.com/players/f/fergute01.html",3,22.4043114404633,21,2017,0,1,0,"OKC",3,1,0,0,0,0,TRUE,0.678571428571429
"414","Terrence Ross",12500000,5e+07,"SG",69,0,1889,341,846,0.403,177,504,0.351,164,342,0.48,0.508,157,184,0.853,13,209,222,82,77,24,70,109,1016,"https://www.basketball-reference.com/players/r/rosste01.html",8,29.6815601629092,8,2012,0,1,0,"ORL",4,2,0,191862,0,0,TRUE,0
"415","Terry Rozier",19894737,56700000,"PG",63,63,2164,398,941,0.423,172,423,0.407,226,518,0.436,0.514,166,190,0.874,50,226,276,259,61,10,141,126,1134,"https://www.basketball-reference.com/players/r/roziete01.html",5,26.5712952482855,16,2015,0,1,0,"CHO",1,2,0,154546,0,0,TRUE,1
"416","Thabo Sefolosha",2564753,2564753,"PF",41,0,436,37,91,0.407,15,54,0.278,22,37,0.595,0.489,3,8,0.375,21,72,93,25,24,12,15,43,92,"https://www.basketball-reference.com/players/s/sefolth01.html",14,36.4443101043636,13,2006,1,1,0,"HOU",1,5,0,163182,0,0,TRUE,0
"417","Thaddeus Young",12900000,32445000,"PF",64,16,1591,269,601,0.448,79,222,0.356,190,379,0.501,0.513,42,72,0.583,94,221,315,117,92,23,102,134,659,"https://www.basketball-reference.com/players/y/youngth01.html",13,32.3073292188033,12,2007,1,1,0,"CHI",1,5,0,61599,0,0,TRUE,0.25
"418","Thanasis Antetokounmpo",1445697,3147290,"SF",20,2,129,24,48,0.5,0,10,0,24,38,0.632,0.5,7,17,0.412,12,12,24,15,7,2,12,18,55,"https://www.basketball-reference.com/players/a/antetth01.html",2,28.2333202461271,51,2016,0,1,0,"MIL",1,2,0,2728,0,0,TRUE,0.1
"419","Theo Pinson",1445697,1445697,"SG",33,0,365,45,155,0.29,15,80,0.188,30,75,0.4,0.339,15,16,0.938,10,44,54,56,17,4,33,35,120,"https://www.basketball-reference.com/players/p/pinsoth01.html",2,24.9340255132987,0,2018,0,1,0,"BRK",2,1,0,73641,0,0,FALSE,0
"420","Thomas Bryant",7936508,2.5e+07,"C",46,36,1147,243,418,0.581,37,91,0.407,206,327,0.63,0.626,86,116,0.741,98,233,331,83,25,49,53,103,609,"https://www.basketball-reference.com/players/b/bryanth01.html",3,23.1983051246543,42,2017,0,1,0,"WAS",2,2,0,31361,0,0,TRUE,0.782608695652174
"421","Thon Maker",3569643,3569643,"C",60,14,776,93,193,0.482,22,64,0.344,71,129,0.55,0.539,73,110,0.664,54,113,167,43,25,39,45,102,281,"https://www.basketball-reference.com/players/m/makerth01.html",4,23.6253048890115,10,2016,0,1,0,"DET",2,2,0,47837,0,0,TRUE,0.233333333333333
"422","Tim Frazier",1882867,1882867,"PG",27,11,355,34,94,0.362,10,30,0.333,24,64,0.375,0.415,19,24,0.792,9,24,33,93,14,4,36,42,97,"https://www.basketball-reference.com/players/f/fraziti01.html",6,29.944399451469,0,2015,0,1,0,"DET",1,6,0,14582,0,0,FALSE,0.407407407407407
"423","Timothé Luwawu-Cabarrot",654468,844170,"SF",47,2,853,117,269,0.435,62,160,0.388,55,109,0.505,0.55,69,81,0.852,29,98,127,29,18,7,37,106,365,"https://www.basketball-reference.com/players/l/luwawti01.html",4,25.4269632589005,24,2016,0,1,0,"BRK",1,4,0,23340,0,0,TRUE,0.0425531914893617
"424","Tobias Harris",31034483,1.8e+08,"PF",72,72,2469,553,1173,0.471,131,357,0.367,422,816,0.517,0.527,174,216,0.806,69,426,495,227,53,40,104,165,1411,"https://www.basketball-reference.com/players/h/harrito02.html",9,28.2415339738946,19,2012,0,1,0,"PHI",2,5,0,212645,0,0,TRUE,1
"425","Tomáš Satoranský",1e+07,2.5e+07,"SG",65,64,1878,237,551,0.43,64,199,0.322,173,352,0.491,0.488,106,121,0.876,76,178,254,354,80,7,130,135,644,"https://www.basketball-reference.com/players/s/satorto01.html",4,28.9505383916024,32,2016,0,1,0,"CHI",1,2,0,17847,0,0,TRUE,0.984615384615385
"426","Tony Bradley",1962360,5504420,"C",58,3,663,126,189,0.667,3,3,1,123,186,0.661,0.675,30,46,0.652,111,156,267,23,14,33,30,115,285,"https://www.basketball-reference.com/players/b/bradlto01.html",3,22.7573876549132,28,2017,0,1,0,"UTA",3,1,0,19795,0,0,TRUE,0.0517241379310345
"427","Tony Snell",11392857,11392857,"SF",59,57,1641,170,382,0.445,102,254,0.402,68,128,0.531,0.579,32,32,1,9,102,111,127,32,15,31,101,474,"https://www.basketball-reference.com/players/s/snellto01.html",7,28.9204213897883,20,2013,0,1,0,"DET",1,3,0,22051,0,0,TRUE,0.966101694915254
"428","Torrey Craig",2100000,2100000,"SF",58,27,1072,124,269,0.461,45,138,0.326,79,131,0.603,0.545,22,36,0.611,63,126,189,47,23,36,25,135,315,"https://www.basketball-reference.com/players/c/craigto01.html",3,29.8129798071891,0,2017,0,1,0,"DEN",3,1,0,7083,0,0,FALSE,0.46551724137931
"429","Trae Young",6273000,12844800,"PG",60,60,2120,546,1249,0.437,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778,"https://www.basketball-reference.com/players/y/youngtr01.html",2,22.0620727834845,5,2018,2,1,0,"ATL",2,1,0,814419,0,0,TRUE,1
"430","Treveon Graham",1678854,1678854,"SF",110,40,1858,174,484,1.087,66,240,0.867,108,244,1.3,1.309,72,112,1.847,102,198,300,90,48,12,58,204,486,"https://www.basketball-reference.com/players/g/grahatr01.html",4,26.9547166236541,0,2016,0,3,2,"ATL",1,4,0,4736,0,0,FALSE,0.363636363636364
"431","Trevor Ariza",12200000,1.4e+07,"SF",106,42,2986,284,648,1.317,154,414,1.124,130,234,1.639,1.672,124,148,2.488,68,424,492,182,138,30,112,222,846,"https://www.basketball-reference.com/players/a/arizatr01.html",16,35.2834365798914,43,2004,1,3,2,"POR",1,9,0,74566,1,0,TRUE,0.39622641509434
"432","Trey Burke",2257814,2257814,"PG",66,2,1040,188,418,1.342,64,150,1.28,124,268,1.368,1.578,46,58,2.424,32,68,100,166,32,4,42,66,486,"https://www.basketball-reference.com/players/b/burketr01.html",7,27.9128707836426,9,2013,1,3,2,"DAL",2,5,0,167959,0,0,TRUE,0.0303030303030303
"433","Trey Lyles",5500000,5500000,"PF",63,53,1271,153,343,0.446,65,168,0.387,88,175,0.503,0.541,33,45,0.733,71,290,361,69,28,28,39,98,404,"https://www.basketball-reference.com/players/l/lylestr01.html",5,24.9340255132987,12,2015,0,1,0,"SAS",1,3,0,108846,0,0,TRUE,0.841269841269841
