"","Player","Actual","Guaranteed","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","url","yrs_exp","age_yrs","draft_num","debut_yr","num_accolades","num_teams_1920","mid_season_trades","team","num_yrs_current_team","num_teams_played","injury_yrs","twitter_followers","NBA_titles","all_NBA","drafted","GS."
"1","Aaron Gordon",19863636,54409091,"PF",62,62,2017,335,767,0.437,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894,"https://www.basketball-reference.com/players/g/gordoaa01.html",6,25.0710350556425,4,2014,0,1,0,"ORL",6,1,0,183817,0,0,TRUE,1
"2","Aaron Holiday",2239200,4584840,"PG",66,33,1617,233,563,0.414,87,221,0.394,146,342,0.427,0.491,74,87,0.851,22,134,156,225,55,16,88,120,627,"https://www.basketball-reference.com/players/h/holidaa01.html",2,24.0306295384268,23,2018,0,1,0,"IND",2,1,0,13339,0,0,TRUE,0.5
"3","Abdel Nader",1618520,1618520,"SF",55,6,867,123,263,0.468,48,128,0.375,75,135,0.556,0.559,51,66,0.773,14,86,100,38,23,20,43,78,345,"https://www.basketball-reference.com/players/n/naderab01.html",3,27.0450676290965,58,2017,0,1,0,"OKC",2,2,0,16393,0,0,TRUE,0.109090909090909
"4","Admiral Schofield",898310,4198912,"PF",33,2,368,35,92,0.38,19,61,0.311,16,31,0.516,0.484,10,15,0.667,7,40,47,15,8,4,7,50,99,"https://www.basketball-reference.com/players/s/schofad01.html",1,23.5349538835691,42,2019,0,1,0,"WAS",1,1,0,50892,0,0,TRUE,0.0606060606060606
"5","Al-Farouq Aminu",9258000,29162700,"PF",18,2,380,25,86,0.291,9,36,0.25,16,50,0.32,0.343,19,29,0.655,24,63,87,21,18,8,17,27,78,"https://www.basketball-reference.com/players/a/aminual01.html",10,30.0567678105104,8,2010,0,1,0,"ORL",1,5,0,79429,0,0,TRUE,0.111111111111111
"6","Al Horford",2.8e+07,9.7e+07,"C",67,61,2025,319,709,0.45,99,283,0.35,220,426,0.516,0.52,61,80,0.763,103,353,456,270,52,61,80,142,798,"https://www.basketball-reference.com/players/h/horfoal01.html",13,34.3580232514206,3,2007,4,1,0,"PHI",1,3,0,355643,0,1,TRUE,0.91044776119403
"7","Alec Burks",2320044,2320044,"SF-SG",132,38,3508,642,1536,1.285,232,602,1.176,410,934,1.363,1.526,470,530,2.613,96,468,564,378,124,34,182,256,1986,"https://www.basketball-reference.com/players/b/burksal01.html",9,29.2299192152495,12,2011,0,3,2,"PHI",1,5,0,55679,0,0,TRUE,0.287878787878788
"8","Alen Smailagić",898310,2415891,"C",14,0,139,20,40,0.5,3,13,0.231,17,27,0.63,0.538,16,19,0.842,10,17,27,13,3,4,11,14,59,"https://www.basketball-reference.com/players/s/smailal01.html",1,20.1482742136588,39,2019,0,1,0,"GSW",1,1,0,2728,0,0,TRUE,0
"9","Alex Caruso",2750000,5500000,"PG",64,2,1175,120,291,0.412,40,120,0.333,80,171,0.468,0.481,69,94,0.734,17,106,123,124,70,18,53,98,349,"https://www.basketball-reference.com/players/c/carusal01.html",3,26.6178397056346,0,2017,1,1,0,"LAL",3,1,0,238834,1,0,FALSE,0.03125
"10","Alex Len",4160000,4160000,"C",110,24,1940,354,638,1.694,32,118,1.188,322,520,1.835,1.763,136,210,1.986,200,442,642,100,46,96,110,254,876,"https://www.basketball-reference.com/players/l/lenal01.html",7,27.3215964639354,5,2013,0,3,2,"SAC",1,3,0,16318,0,0,TRUE,0.218181818181818
"11","Alfonzo McKinnie",1361046,2253031,"SF",40,1,593,73,171,0.427,14,65,0.215,59,106,0.557,0.468,22,31,0.71,37,76,113,14,23,8,26,72,182,"https://www.basketball-reference.com/players/m/mckinal01.html",3,28.0663077815214,0,2017,0,1,0,"CLE",1,3,0,16070,0,0,FALSE,0.025
"12","Alize Johnson",1416852,1416852,"PF",17,1,118,12,29,0.414,3,8,0.375,9,21,0.429,0.466,7,10,0.7,16,32,48,7,3,2,7,12,34,"https://www.basketball-reference.com/players/j/johnsal02.html",2,24.4714329286156,50,2018,0,1,0,"IND",2,1,0,8906,0,0,TRUE,0.0588235294117647
"13","Allen Crabbe",17818456,17818456,"SG-SF",74,2,1306,126,354,1.044,72,238,0.857,54,116,1.531,1.339,20,28,1.964,22,132,154,66,30,8,34,94,344,"https://www.basketball-reference.com/players/c/crabbal01.html",7,28.5071111717102,31,2013,0,3,2,"MIN",1,4,0,0,0,0,TRUE,0.027027027027027
"14","Allonzo Trier",3551100,3551100,"SG",24,1,291,51,106,0.481,19,53,0.358,32,53,0.604,0.571,34,43,0.791,6,23,29,28,3,4,22,29,155,"https://www.basketball-reference.com/players/t/trieral01.html",2,24.734158137623,0,2018,0,1,0,"NYK",2,1,0,33897,0,0,FALSE,0.0416666666666667
"15","Amile Jefferson",1445697,1445697,"PF",18,0,74,5,14,0.357,0,0,0,5,14,0.357,0.357,5,14,0.357,10,13,23,4,1,3,3,7,15,"https://www.basketball-reference.com/players/j/jeffeam01.html",2,27.4311128341687,0,2018,0,1,0,"ORL",2,1,0,37355,0,0,FALSE,0
"16","Anžejs Pasečņiks",482144,482144,"C",27,0,437,61,116,0.526,0,3,0,61,113,0.54,0.526,34,58,0.586,42,65,107,18,9,12,24,75,156,"https://www.basketball-reference.com/players/p/pasecan01.html",1,24.8108195967863,25,2019,0,1,0,"WAS",1,1,0,3458,0,0,TRUE,0
"17","Andre Drummond",27093019,27093019,"C",114,112,3758,836,1568,1.615,10,70,0.477,826,1498,1.69,1.638,338,588,1.672,500,1228,1728,304,218,186,406,402,2020,"https://www.basketball-reference.com/players/d/drumman01.html",8,27.1710114548647,9,2012,4,3,2,"CLE",1,2,0,818448,0,1,TRUE,0.982456140350877
"18","Andre Iguodala",17185185,32185185,"SF",21,0,418,38,88,0.432,14,47,0.298,24,41,0.585,0.511,6,15,0.4,17,61,78,51,14,21,26,35,96,"https://www.basketball-reference.com/players/i/iguodan01.html",16,36.7042974041152,9,2004,5,1,0,"MIA",1,4,0,1310076,3,0,TRUE,0
"19","Andre Roberson",10740741,10740741,"SF",7,0,87,8,29,0.276,3,14,0.214,5,15,0.333,0.328,1,2,0.5,7,20,27,4,1,3,2,13,20,"https://www.basketball-reference.com/players/r/roberan03.html",6,28.8547115676484,26,2013,1,1,0,"OKC",6,1,0,60856,0,0,TRUE,0
"20","Andrew Wiggins",27504630,122242800,"SF",108,108,3716,874,1956,1.348,222,668,1.002,652,1288,1.523,1.517,380,536,2.101,132,416,548,396,90,106,264,254,2350,"https://www.basketball-reference.com/players/w/wiggian01.html",6,25.6321923735355,1,2014,2,3,2,"GSW",1,2,0,507287,0,0,TRUE,1
"21","Anfernee Simons",2149560,4401600,"SG",70,4,1449,214,536,0.399,75,226,0.332,139,310,0.448,0.469,76,92,0.826,25,127,152,97,26,10,61,135,579,"https://www.basketball-reference.com/players/s/simonan01.html",2,21.3447405584568,24,2018,0,1,0,"POR",2,1,0,22158,0,0,TRUE,0.0571428571428571
"22","Ante Žižić",2281800,2281800,"C",22,0,221,41,72,0.569,0,0,0,41,72,0.569,0.569,14,19,0.737,18,48,66,6,7,5,10,27,96,"https://www.basketball-reference.com/players/z/zizican01.html",3,23.7676761703147,23,2017,0,1,0,"CLE",3,1,0,144,0,0,TRUE,0
"23","Anthony Davis",27093019,27093019,"PF",62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,"https://www.basketball-reference.com/players/d/davisan02.html",8,27.5870595821987,1,2012,7,1,0,"LAL",1,2,0,1995796,1,4,TRUE,1
"24","Anthony Tolliver",2709655,2854556,"PF",110,26,1744,130,364,1.297,98,290,1.223,32,74,1.682,1.796,42,58,2.783,68,240,308,84,38,22,68,148,400,"https://www.basketball-reference.com/players/t/tollian01.html",12,35.3628359483105,0,2008,0,4,3,"MEM",1,10,0,40506,0,0,FALSE,0.236363636363636
"25","Aron Baynes",5453280,5453280,"C",42,28,934,183,381,0.48,59,168,0.351,124,213,0.582,0.558,56,75,0.747,71,166,237,67,10,23,50,141,481,"https://www.basketball-reference.com/players/b/baynear01.html",8,33.8404443225162,0,2013,1,1,0,"PHO",1,4,0,71573,1,0,FALSE,0.666666666666667
"26","Austin Rivers",2174318,2174318,"SG",68,4,1594,211,501,0.421,96,270,0.356,115,231,0.498,0.517,78,111,0.703,27,148,175,113,49,10,50,129,596,"https://www.basketball-reference.com/players/r/riverau01.html",8,28.1949895165455,10,2012,0,1,0,"HOU",2,4,0,292336,0,0,TRUE,0.0588235294117647
"27","Avery Bradley",6767000,11772350,"SG",49,44,1186,170,383,0.444,63,173,0.364,107,210,0.51,0.526,20,24,0.833,18,97,115,63,43,5,47,110,423,"https://www.basketball-reference.com/players/b/bradlav01.html",10,29.8759517200732,19,2010,2,1,0,"LAL",1,5,0,3542,1,0,TRUE,0.897959183673469
"28","Bam Adebayo",3454080,8569572,"PF",72,72,2417,440,790,0.557,2,14,0.143,438,776,0.564,0.558,264,382,0.691,176,559,735,368,82,93,204,182,1146,"https://www.basketball-reference.com/players/a/adebaba01.html",3,23.2338979449801,14,2017,2,1,0,"MIA",3,1,0,154883,0,0,TRUE,1
"29","Ben McLemore",2028594,2028594,"SF",71,23,1619,242,545,0.444,181,452,0.4,61,93,0.656,0.61,50,67,0.746,21,136,157,58,45,16,50,155,715,"https://www.basketball-reference.com/players/m/mclembe01.html",7,27.663721041362,7,2013,0,1,0,"HOU",1,3,0,99614,0,0,TRUE,0.323943661971831
"30","Ben Simmons",8113930,177763930,"PG",57,57,2017,375,647,0.58,2,7,0.286,373,640,0.583,0.581,185,298,0.621,113,331,444,455,119,33,200,186,937,"https://www.basketball-reference.com/players/s/simmobe01.html",3,24.2277590048466,1,2017,6,1,0,"PHI",3,1,1,989976,0,1,TRUE,1
"31","Bismack Biyombo",1.7e+07,1.7e+07,"C",53,29,1029,151,278,0.543,0,0,0,151,278,0.543,0.543,91,151,0.603,120,188,308,50,10,49,48,116,393,"https://www.basketball-reference.com/players/b/biyombi01.html",9,28.121065966638,7,2011,0,1,0,"CHO",3,3,0,53554,0,0,TRUE,0.547169811320755
"32","Blake Griffin",34234964,70830960,"PF",18,18,512,88,250,0.352,27,111,0.243,61,139,0.439,0.406,76,98,0.776,17,67,84,59,7,7,40,27,279,"https://www.basketball-reference.com/players/g/griffbl01.html",10,31.5734554586883,1,2010,4,1,0,"DET",3,2,1,4531618,0,5,TRUE,1
"33","Boban Marjanović",3500000,7e+06,"C",44,5,422,121,211,0.573,4,17,0.235,117,194,0.603,0.583,43,57,0.754,66,131,197,20,8,10,30,56,289,"https://www.basketball-reference.com/players/m/marjabo01.html",5,32.1567442097326,0,2015,0,1,0,"DAL",1,5,0,95390,0,0,FALSE,0.113636363636364
"34","Bobby Portis",1.5e+07,1.5e+07,"PF",66,5,1393,265,589,0.45,67,187,0.358,198,402,0.493,0.507,71,93,0.763,80,258,338,98,32,18,73,110,668,"https://www.basketball-reference.com/players/p/portibo01.html",5,25.6677851938613,22,2015,0,1,0,"NYK",1,3,0,85245,0,0,TRUE,0.0757575757575758
"35","Bogdan Bogdanović",8529386,8529386,"SG",61,28,1766,337,766,0.44,164,441,0.372,173,325,0.532,0.547,86,116,0.741,26,181,207,207,64,15,102,133,924,"https://www.basketball-reference.com/players/b/bogdabo01.html",3,28.1484450591963,27,2017,1,1,0,"SAC",3,1,0,260294,0,0,TRUE,0.459016393442623
"36","Bojan Bogdanović",1.7e+07,73100000,"SF",63,63,2083,418,935,0.447,189,457,0.414,229,478,0.479,0.548,250,277,0.903,39,220,259,131,34,7,159,110,1275,"https://www.basketball-reference.com/players/b/bogdabo02.html",6,31.4832185327982,31,2014,1,1,0,"UTA",1,4,0,22376,0,0,TRUE,1
"37","Brad Wanamaker",1445697,1445697,"PG",71,1,1369,162,362,0.448,37,102,0.363,125,260,0.481,0.499,126,136,0.926,22,122,144,179,61,14,76,133,487,"https://www.basketball-reference.com/players/w/wanambr01.html",2,31.2149034257268,0,2018,0,1,0,"BOS",2,1,0,24531,0,0,FALSE,0.0140845070422535
"38","Bradley Beal",27093019,90346924,"SG",57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,"https://www.basketball-reference.com/players/b/bealbr01.html",8,27.2887415528655,3,2012,2,1,0,"WAS",8,1,0,524142,0,0,TRUE,1
"39","Brandon Clarke",2478840,5081760,"PF",58,4,1300,296,479,0.618,23,64,0.359,273,415,0.658,0.642,85,112,0.759,92,253,345,81,32,48,55,100,700,"https://www.basketball-reference.com/players/c/clarkbr01.html",1,24.060746540241,21,2019,1,1,0,"MEM",1,1,0,22662,0,0,TRUE,0.0689655172413793
"40","Brandon Goodwin",522738,522738,"PG",34,1,430,76,190,0.4,26,87,0.299,50,103,0.485,0.468,28,30,0.933,11,61,72,51,12,4,29,43,206,"https://www.basketball-reference.com/players/g/goodwbr01.html",2,25.0272285075492,0,2018,0,1,0,"ATL",1,2,0,6939,0,0,FALSE,0.0294117647058824
"41","Brandon Ingram",7265485,7265485,"PF",62,62,2104,507,1096,0.463,150,384,0.391,357,712,0.501,0.531,313,368,0.851,51,329,380,259,61,38,189,179,1477,"https://www.basketball-reference.com/players/i/ingrabr01.html",4,23.1079541192119,2,2016,3,1,0,"NOP",1,2,0,347466,0,0,TRUE,1
"42","Brandon Knight",15643750,15643750,"SG-PG",50,6,924,118,334,1.062,90,262,1.029,28,72,1.155,1.467,40,68,1.658,8,74,82,138,20,6,76,80,366,"https://www.basketball-reference.com/players/k/knighbr03.html",8,28.86018738616,8,2011,1,3,2,"DET",3,5,0,209166,0,0,TRUE,0.12
"43","Brook Lopez",12093024,5.2e+07,"C",68,67,1817,292,671,0.435,102,325,0.314,190,346,0.549,0.511,127,152,0.836,58,254,312,99,46,163,70,163,813,"https://www.basketball-reference.com/players/l/lopezbr01.html",12,32.5289857889733,10,2008,3,1,0,"MIL",2,3,0,2728,0,0,TRUE,0.985294117647059
"44","Bruce Brown",1416852,1416852,"PG",58,43,1634,198,447,0.443,33,96,0.344,165,351,0.47,0.48,88,119,0.739,61,213,274,230,63,29,100,162,517,"https://www.basketball-reference.com/players/b/brownbr01.html",2,24.156573364195,42,2018,0,1,0,"DET",2,1,0,6206,0,0,TRUE,0.741379310344828
"45","Bruno Caboclo",1845301,1845301,"C",60,0,488,76,178,1.333,12,66,0.592,64,112,1.783,1.446,16,18,2.556,46,74,120,24,30,34,26,62,180,"https://www.basketball-reference.com/players/c/cabocbr01.html",6,25.0573455093634,20,2014,0,3,2,"HOU",1,4,0,34848,0,0,TRUE,0
"46","Bruno Fernando",1400000,4700602,"C",56,13,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240,"https://www.basketball-reference.com/players/f/fernabr01.html",1,22.1578996074386,34,2019,0,1,0,"ATL",1,1,0,17769,0,0,TRUE,0.232142857142857
"47","Bryn Forbes",2875000,2875000,"SG",63,62,1579,242,581,0.417,148,381,0.388,94,200,0.47,0.544,75,90,0.833,12,114,126,108,33,0,57,113,707,"https://www.basketball-reference.com/players/f/forbebr01.html",4,27.2202938214697,0,2016,0,1,0,"SAS",4,1,0,20954,0,0,FALSE,0.984126984126984
"48","Buddy Hield",4861208,90861208,"SG",72,44,2216,498,1162,0.429,271,688,0.394,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382,"https://www.basketball-reference.com/players/h/hieldbu01.html",4,27.8170439596885,6,2016,1,1,0,"SAC",4,2,0,129168,0,0,TRUE,0.611111111111111
"49","C.J. Miles",8730158,8730158,"SF",10,0,161,19,59,0.322,11,35,0.314,8,24,0.333,0.415,15,20,0.75,4,8,12,12,10,4,4,14,64,"https://www.basketball-reference.com/players/m/milescj01.html",15,33.569391306189,34,2005,0,1,0,"WAS",1,6,0,35802,0,0,TRUE,0
"50","Caleb Martin",898310,898310,"SF",18,1,317,37,84,0.44,20,37,0.541,17,47,0.362,0.56,17,21,0.81,10,28,38,23,12,7,15,32,111,"https://www.basketball-reference.com/players/m/martica02.html",1,25.0381801445726,0,2019,0,1,0,"CHO",1,1,0,9557,0,0,FALSE,0.0555555555555556
"51","Caleb Swanigan",2033160,2033160,"PF-C",54,2,576,56,94,1.701,0,4,0,56,90,1.756,1.701,18,34,1.562,54,146,200,62,6,14,74,124,130,"https://www.basketball-reference.com/players/s/swanica01.html",3,23.4830476872607,26,2017,0,3,2,"POR",3,2,0,16848,0,0,TRUE,0.037037037037037
"52","Cam Reddish",4245720,8703720,"SF",58,34,1551,213,554,0.384,83,250,0.332,130,304,0.428,0.459,101,126,0.802,35,181,216,87,62,28,96,132,610,"https://www.basketball-reference.com/players/r/reddica01.html",1,21.1120182717112,10,2019,0,1,0,"ATL",1,1,0,72427,0,0,TRUE,0.586206896551724
"53","Cameron Johnson",4033440,8268600,"PF",57,9,1255,176,405,0.435,106,272,0.39,70,133,0.526,0.565,46,57,0.807,49,138,187,69,36,20,32,88,504,"https://www.basketball-reference.com/players/j/johnsca02.html",1,24.6082143118548,11,2019,0,1,0,"PHO",1,1,0,2728,0,0,TRUE,0.157894736842105
"54","Cameron Payne",346288,346288,"SG",8,0,183,33,68,0.485,15,29,0.517,18,39,0.462,0.596,6,7,0.857,4,27,31,24,8,2,11,20,87,"https://www.basketball-reference.com/players/p/payneca01.html",5,26.1771503949982,14,2015,0,1,0,"PHO",1,4,0,22370,0,0,TRUE,0
"55","Caris LeVert",2625718,55125718,"SG",45,31,1330,311,732,0.425,80,220,0.364,231,512,0.451,0.48,140,197,0.711,49,140,189,199,53,10,118,81,842,"https://www.basketball-reference.com/players/l/leverca01.html",4,26.130605937649,20,2016,0,1,0,"BRK",4,1,0,46210,0,0,TRUE,0.688888888888889
"56","Carmelo Anthony",2159029,2159029,"PF",58,58,1902,336,782,0.43,87,226,0.385,249,556,0.448,0.485,136,161,0.845,71,297,368,85,49,27,100,171,895,"https://www.basketball-reference.com/players/a/anthoca01.html",17,36.3703865544562,3,2003,4,1,0,"POR",1,5,0,9177929,0,6,TRUE,1
"57","Carsen Edwards",1228026,4528628,"SG",37,0,351,42,128,0.328,24,76,0.316,18,52,0.346,0.422,13,19,0.684,6,41,47,24,12,4,15,34,121,"https://www.basketball-reference.com/players/e/edwarca01.html",1,22.5848993717958,33,2019,0,1,0,"BOS",1,1,0,60580,0,0,TRUE,0
"58","Cedi Osman",2907143,27057143,"SF",65,65,1910,266,609,0.437,123,321,0.383,143,288,0.497,0.538,63,94,0.67,39,192,231,154,54,16,91,160,718,"https://www.basketball-reference.com/players/o/osmande01.html",3,25.5118384458313,31,2017,0,1,0,"CLE",3,1,0,415350,0,0,TRUE,1
"59","Chandler Hutchison",2332320,4775760,"SF",28,10,527,80,175,0.457,12,38,0.316,68,137,0.496,0.491,46,78,0.59,18,90,108,26,27,7,27,47,218,"https://www.basketball-reference.com/players/h/hutchch01.html",2,24.4604812915923,22,2018,0,1,0,"CHI",2,1,0,12158,0,0,TRUE,0.357142857142857
"60","Chandler Parsons",25102511,25102511,"PF",5,0,54,5,18,0.278,4,14,0.286,1,4,0.25,0.389,0,0,0,1,6,7,3,4,1,3,3,14,"https://www.basketball-reference.com/players/p/parsoch01.html",9,31.9623526525686,38,2011,1,1,0,"ATL",1,4,0,295428,0,0,TRUE,0
"61","Chasson Randle",91557,91557,"PG",3,0,40,0,4,0,0,2,0,0,2,0,0,5,6,0.833,0,2,2,5,2,0,0,3,5,"https://www.basketball-reference.com/players/r/randlch01.html",3,27.6801484968969,0,2017,0,1,0,"GSW",1,4,0,5598,0,0,FALSE,0
"62","Cheick Diallo",1678854,1678854,"C",47,2,479,92,142,0.648,1,3,0.333,91,139,0.655,0.651,34,39,0.872,30,101,131,22,11,12,32,55,219,"https://www.basketball-reference.com/players/d/diallch01.html",4,24.077173995776,33,2016,0,1,0,"PHO",1,2,0,17266,0,0,TRUE,0.0425531914893617
"63","Chimezie Metu",1416852,1416852,"C",18,0,105,24,42,0.571,0,2,0,24,40,0.6,0.571,10,13,0.769,12,21,33,10,3,6,10,7,58,"https://www.basketball-reference.com/players/m/metuch01.html",2,23.5568571576158,49,2018,0,1,0,"SAS",2,1,0,7338,0,0,TRUE,0
"64","Chris Boucher",1588231,1588231,"C",62,0,819,141,299,0.472,38,118,0.322,103,181,0.569,0.535,91,116,0.784,107,170,277,26,22,61,28,114,411,"https://www.basketball-reference.com/players/b/bouchch01.html",3,27.7485962282927,0,2018,1,1,0,"TOR",2,2,0,17372,2,0,FALSE,0
"65","Chris Clemons",568422,568422,"SG",33,0,291,57,142,0.401,37,107,0.346,20,35,0.571,0.532,10,11,0.909,4,26,30,27,9,6,19,26,161,"https://www.basketball-reference.com/players/c/clemoch01.html",1,23.2202083987009,0,2019,0,1,0,"HOU",1,1,0,5872,0,0,FALSE,0
"66","Chris Paul",38506482,79865296,"PG",70,70,2208,434,887,0.489,111,304,0.365,323,583,0.554,0.552,253,279,0.907,26,323,349,472,111,11,161,158,1232,"https://www.basketball-reference.com/players/p/paulch01.html",15,35.4340215889621,4,2005,8,1,0,"OKC",1,4,0,8209648,0,9,TRUE,1
"67","Chris Silva",466918,1984899,"PF",44,0,346,48,78,0.615,0,3,0,48,75,0.64,0.615,37,55,0.673,60,66,126,23,9,21,32,85,133,"https://www.basketball-reference.com/players/s/silvach01.html",1,24.060746540241,0,2019,0,1,0,"MIA",1,1,0,10550,0,0,FALSE,0
"68","Christian Wood",1645357,1645357,"PF",62,12,1325,288,508,0.567,54,140,0.386,234,368,0.636,0.62,180,242,0.744,104,286,390,60,34,54,84,98,810,"https://www.basketball-reference.com/players/w/woodch01.html",4,25.0409180538284,0,2015,0,1,0,"DET",1,5,0,23535,0,0,FALSE,0.193548387096774
"69","CJ McCollum",27556959,156911111,"SG",70,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556,"https://www.basketball-reference.com/players/m/mccolcj01.html",7,29.0629067506438,10,2014,1,1,0,"POR",7,1,0,472473,0,0,TRUE,1
"70","Clint Capela",16456522,72086957,"C",39,39,1279,244,388,0.629,0,0,0,244,388,0.629,0.629,55,104,0.529,168,369,537,48,33,72,63,102,543,"https://www.basketball-reference.com/players/c/capelca01.html",6,26.4016589539763,25,2014,0,1,0,"HOU",6,1,0,84003,0,0,TRUE,1
"71","Coby White",5307120,10879800,"PG",65,1,1674,312,792,0.394,133,376,0.354,179,416,0.43,0.478,102,129,0.791,28,202,230,175,49,6,109,117,859,"https://www.basketball-reference.com/players/w/whiteco01.html",1,20.6519354371793,7,2019,1,1,0,"CHI",1,1,0,59749,0,0,TRUE,0.0153846153846154
"72","Cody Martin",1173310,4473912,"SF",48,3,903,89,207,0.43,18,77,0.234,71,130,0.546,0.473,42,65,0.646,38,120,158,95,39,9,44,78,238,"https://www.basketball-reference.com/players/m/martico01.html",1,25.0381801445726,36,2019,0,1,0,"CHO",1,1,0,4841,0,0,TRUE,0.0625
"73","Cody Zeller",14471910,29887640,"C",58,39,1341,251,479,0.524,18,75,0.24,233,404,0.577,0.543,122,179,0.682,160,251,411,88,40,25,75,140,642,"https://www.basketball-reference.com/players/z/zelleco01.html",7,28.0170254149165,4,2013,1,1,0,"CHO",6,1,0,145340,0,0,TRUE,0.672413793103448
"74","Collin Sexton",4764960,9756840,"PG",65,65,2143,513,1086,0.472,97,255,0.38,416,831,0.501,0.517,226,267,0.846,61,143,204,192,65,7,158,142,1349,"https://www.basketball-reference.com/players/s/sextoco01.html",2,21.7690024135583,8,2018,1,1,0,"CLE",2,1,0,920,0,0,TRUE,1
"75","Corey Brewer",289803,289803,"PF",5,0,33,2,4,0.5,0,1,0,2,3,0.667,0.5,1,3,0.333,2,6,8,2,4,0,2,7,5,"https://www.basketball-reference.com/players/b/breweco01.html",13,34.604321004893,7,2007,1,1,0,"SAC",2,8,0,74349,1,0,TRUE,0
"76","Cory Joseph",1.2e+07,24600000,"PG",72,26,1759,171,412,0.415,56,159,0.352,115,253,0.455,0.483,60,70,0.857,44,144,188,251,53,21,80,133,458,"https://www.basketball-reference.com/players/j/josepco01.html",9,29.1450440283187,29,2011,1,1,0,"SAC",1,4,0,110954,1,0,TRUE,0.361111111111111
"77","Courtney Lee",12759670,12759670,"SG",24,9,345,40,82,0.488,21,47,0.447,19,35,0.543,0.616,6,7,0.857,7,25,32,12,18,6,11,33,107,"https://www.basketball-reference.com/players/l/leeco01.html",12,35.0233352005874,22,2008,0,1,0,"DAL",2,8,0,66834,0,0,TRUE,0.375
"78","Cristiano Felício",8156500,15685520,"C",22,0,386,34,54,0.63,0,2,0,34,52,0.654,0.63,18,23,0.783,55,47,102,16,10,2,18,34,86,"https://www.basketball-reference.com/players/f/feliccr01.html",5,28.2634372479412,0,2015,0,1,0,"CHI",5,1,0,10378,0,0,FALSE,0
"79","D'Angelo Russell",27285000,117325500,"PG",90,90,2904,720,1692,1.268,316,862,1.086,404,830,1.459,1.545,322,398,2.467,34,320,354,570,96,26,294,172,2078,"https://www.basketball-reference.com/players/r/russeda01.html",5,24.6328554951573,2,2015,2,3,2,"MIN",1,4,0,592892,0,0,TRUE,1
"80","D.J. Augustin",7250000,7250000,"PG",57,13,1420,184,461,0.399,70,201,0.348,114,260,0.438,0.475,161,181,0.89,22,100,122,262,34,1,86,72,599,"https://www.basketball-reference.com/players/a/augusdj01.html",12,32.9205068125571,9,2008,1,1,0,"ORL",4,8,0,3984,0,0,TRUE,0.228070175438596
"81","D.J. Wilson",2961120,7509400,"PF",37,1,363,52,132,0.394,18,73,0.247,34,59,0.576,0.462,11,18,0.611,12,80,92,25,3,5,19,33,133,"https://www.basketball-reference.com/players/w/wilsodj01.html",3,24.6438071321806,17,2017,0,1,0,"MIL",3,1,0,29312,0,0,TRUE,0.027027027027027
"82","Dāvis Bertāns",7e+06,7e+06,"PF",54,4,1583,265,610,0.434,200,472,0.424,65,138,0.471,0.598,104,122,0.852,35,210,245,92,37,33,59,139,834,"https://www.basketball-reference.com/players/b/bertada01.html",4,27.9128707836426,42,2016,0,1,0,"WAS",1,2,0,52936,0,0,TRUE,0.0740740740740741
"83","Džanan Musa",1911600,3914400,"SF",40,0,487,64,172,0.372,19,78,0.244,45,94,0.479,0.427,45,60,0.75,21,65,86,43,15,1,36,30,192,"https://www.basketball-reference.com/players/m/musadz01.html",2,21.4296157453876,29,2018,0,1,0,"BRK",2,1,0,11319,0,0,TRUE,0
"84","Damian Jones",2305057,2305057,"C",55,27,887,121,178,0.68,2,9,0.222,119,169,0.704,0.685,62,84,0.738,74,132,206,35,26,40,28,149,306,"https://www.basketball-reference.com/players/j/jonesda03.html",4,25.2845919775973,30,2016,1,1,0,"ATL",1,2,0,21868,2,0,TRUE,0.490909090909091
"85","Damian Lillard",29802321,257429274,"PG",66,66,2474,624,1349,0.463,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978,"https://www.basketball-reference.com/players/l/lillada01.html",8,30.2429456399069,6,2012,4,1,0,"POR",8,1,0,2383657,0,5,TRUE,1
"86","Damion Lee",842327,1442327,"SG",49,36,1423,213,511,0.417,85,239,0.356,128,272,0.471,0.5,110,126,0.873,32,207,239,133,50,6,67,116,621,"https://www.basketball-reference.com/players/l/leeda03.html",3,27.9732188668232,0,2018,0,1,0,"GSW",2,2,0,15710,0,0,FALSE,0.73469387755102
